24;508404;470
69;505434;471
28;505419;471
44;508401;470
14;505406;471
34;505414;471
39;505416;471
38;508408;470
32;508407;470
29;505423;471
25;508405;470
40;505410;471
43;508406;470
78;508411;470
38;505437;471
89;508411;470
17;508412;471
18;505405;471
42;505410;471
28;505406;471
19;505405;471
56;505435;471
53;508402;470
43;505438;471
34;508407;470
52;508408;470
39;508410;470
7;505414;471
62;505426;471
40;508406;470
4;508412;470
32;505423;471
45;508415;470
60;505426;471
54;505426;471
4;505415;471
40;508408;470
21;505411;471
4;505443;471
28;505423;471
48;508402;470
19;508412;471
37;505423;471
42;505412;471
56;505414;471
37;505402;471
27;508407;470
10;505436;471
35;505433;471
60;505414;471
30;508407;470
36;508406;470
41;505416;471
19;505401;471
27;505401;471
4;505412;471
17;508415;470
85;508409;470
28;505410;471
33;505415;471
76;508411;470
31;505428;471
35;505415;471
82;508411;470
23;505405;471
36;505415;471
35;505410;471
43;505412;471
50;508408;470
16;508412;470
32;508405;470
6;505402;471
33;508402;470
29;508409;470
32;508415;470
47;505410;471
22;508412;470
20;505406;471
19;505406;471
43;508410;470
34;505433;471
18;505411;471
74;508411;470
24;505401;471
41;505435;471
46;508408;470
47;508401;470
40;505416;471
35;508401;470
42;508415;470
18;508401;470
59;505426;471
38;505415;471
62;505434;471
67;508411;470
52;505414;471
40;505438;471
2;505419;471
47;505435;471
42;505402;471
46;505426;471
44;508406;470
28;505412;471
77;508411;470
37;508402;470
50;508402;470
