1;508408
2;508414
2;505436
37;508415
71;508409
7;508406
14;508402
5;505433
16;505437
3;508404
39;505402
6;508402
10;508401
6;505435
10;508411
2;505412
20;508402
8;508406
2;505425
4;508401
2;508415
7;505416
10;505402
2;505415
6;505433
8;505435
14;508405
12;508406
5;508410
20;505426
4;508406
20;508411
16;508402
12;505410
24;508402
5;508408
5;508411
1;505426
14;505423
1;505414
4;505411
1;508410
2;505414
10;505423
34;505438
10;505416
16;505428
17;508411
3;505413
4;505406
2;508408
5;505435
4;505410
6;505426
16;508411
7;508405
6;505434
1;508415
7;508411
12;508401
3;508407
8;508411
40;505401
1;505415
6;505423
22;508411
28;505438
2;508407
5;508402
1;505411
7;505428
2;508412
2;505411
2;505408
42;505419
8;508405
3;505410
6;505410
2;508413
2;505401
6;505405
6;508413
5;505402
6;505416
1;505416
62;505438
1;508412
16;508401
2;508411
15;505437
1;508409
2;508402
4;505433
4;505404
4;505424
8;505438
32;505437
28;508402
12;505428
3;508408
2;505434
18;505419
8;505415
14;505413
4;505425
1;508405
