508404;1;15;
508404;3;10;
508404;5;5;
508404;8;;1
508404;11;;1
508404;10;10;1
508404;12;5;1
508405;5;20;
508405;7;15;
508405;15;;1
508405;19;5;
508406;14;20;
508406;28;20;
508406;20;;1
